product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
sip;off;tls;on;auto;silk-24000;ulpfec;720;on;on;957;4827;3111;1231;irc;off;auto;off;auto;telephone-event-80000;vp8;360;on;off;728;2878;246;3740
iptel.org;on;tls;on;auto;silk-24000;red;480;off;on;957;4827;3111;2422;irc;off;auto;besteffort;auto;speex-32000;vp8;480;on;off;757;2722;269;2302
iptel.org;off;tls;off;auto;pcma-8000;h264;480;on;on;1049;4827;4494;1542;icq;off;auto;off;auto;pcmu-8000;rtx;1080;on;on;757;4093;208;4109
iptel.org;off;tls;on;auto;silk-24000;auto;360;off;on;1021;4827;3111;1231;irc;on;auto;on;auto;speex-32000;ulpfec;480;on;off;587;2558;113;4109
irc;off;tls;on;auto;silk-24000;red;240;off;on;957;4827;3347;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;975;1103;269;1923
sip;off;tls;on;auto;silk-24000;ulpfec;240;on;on;1052;4827;3362;1063;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;938;2592;125;4082
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;4827;4494;2511;icq;off;udp;off;true;speex-16000;rtx;1080;on;off;769;2878;246;4109
iptel.org;off;tls;on;auto;silk-24000;red;480;off;on;1052;4827;1601;1801;irc;on;auto;on;auto;amr-wb-16000;vp8;480;off;off;1142;2564;113;3946
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;534;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;938;2558;208;4109
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;1052;4827;1834;1177;irc;on;auto;on;auto;speex-32000;vp8;480;on;off;1114;2558;208;4109
iptel.org;off;tls;off;auto;pcma-8000;red;720;on;off;1052;4827;4447;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;1450;4182;369;3611
irc;off;tls;on;auto;silk-24000;vp8;1080;off;on;729;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;525;3847;246;3946
iptel.org;off;tls;off;auto;amr-wb-16000;red;1080;on;off;1206;4827;3933;318;irc;off;udp;off;true;ilbc-8000;rtx;1080;on;off;1361;3857;269;432
iptel.org;off;tls;off;true;silk-24000;auto;480;off;on;957;4827;1601;1801;irc;on;auto;off;auto;speex-16000;vp8;480;on;off;685;3847;204;3946
sip;off;tls;on;auto;silk-24000;vp8;240;off;on;750;4827;3102;1409;irc;off;auto;on;auto;silk-8000;vp8;240;on;off;938;2558;208;4109
irc;off;tls;on;auto;silk-12000;auto;480;off;on;957;4827;820;1231;irc;off;auto;on;auto;speex-32000;vp8;480;on;off;1145;2564;113;4109
sip;on;tls;on;auto;opus-48000;vp8;1080;off;on;693;4827;3673;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;1114;2878;369;3298
irc;off;tls;on;auto;silk-24000;ulpfec;240;off;on;957;4827;3347;1231;irc;on;auto;off;auto;silk-16000;vp8;480;on;off;992;4059;269;1923
iptel.org;on;tls;off;auto;pcma-8000;red;720;off;off;1049;4827;1834;1231;icq;on;auto;off;auto;silk-24000;rtx;1080;on;off;757;4093;269;2302
sip;off;tls;on;auto;silk-24000;vp8;720;off;on;1041;4827;3102;1231;irc;on;auto;on;auto;silk-16000;vp8;480;on;off;525;2564;246;3946
iptel.org;off;tls;off;auto;amr-wb-16000;red;1080;off;off;1206;4827;3933;871;icq;off;auto;off;true;silk-24000;rtx;1080;on;off;1361;3857;295;4109
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;957;4827;1601;431;irc;off;auto;on;auto;g722-16000;vp8;480;on;off;525;2982;113;4109
sip;off;tls;on;auto;silk-24000;vp8;240;off;off;1282;4974;3933;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;765;3857;269;1923
iptel.org;on;tls;off;auto;pcma-8000;h264;480;on;on;1049;4827;977;318;icq;off;auto;off;auto;silk-24000;rtx;1080;on;off;930;2592;295;3901
iptel.org;on;tls;on;auto;silk-24000;rtx;240;off;on;534;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;938;2558;208;4109
iptel.org;on;tls;off;auto;pcma-8000;h264;480;on;on;1049;4827;4494;1041;ippi;off;udp;off;true;speex-16000;rtx;1080;on;off;752;4589;204;3946
iptel.org;off;auto;on;auto;silk-24000;red;480;off;on;783;4827;1834;1028;irc;off;auto;off;auto;pcmu-8000;red;480;on;off;525;2558;113;3946
iptel.org;off;tls;on;auto;silk-24000;vp8;1080;off;on;940;4827;3111;1231;irc;off;auto;off;auto;speex-32000;vp8;480;on;off;525;2878;246;3771
aim;off;tls;on;auto;silk-24000;vp8;480;off;on;729;4827;3102;1231;irc;off;auto;on;auto;silk-8000;vp8;480;on;off;525;3847;246;3946
