product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
iptel.org;on;tls;off;auto;silk-24000;red;480;on;on;1145;4943;2342;2371;irc;off;auto;on;auto;gsm-8000;vp8;240;on;off;974;2329;418;4112;Failed
sip;off;tls;on;auto;silk-24000;vp8;240;on;on;1103;4728;1688;750;irc;off;auto;on;auto;silk-16000;vp8;240;off;off;595;2607;51;3851;Failed
irc;off;tls;on;auto;silk-24000;auto;1080;off;on;1103;4728;1688;1878;irc;off;auto;off;auto;gsm-8000;vp8;480;on;off;974;4098;51;4112;Failed
irc;on;tls;on;auto;silk-24000;auto;240;off;on;604;4728;3355;987;irc;off;auto;off;auto;telephone-event-80000;vp8;480;on;off;974;2607;51;1648;Failed
h323;off;tls;on;auto;silk-24000;auto;240;off;on;1145;4728;1688;750;h323;off;auto;on;auto;amr-wb-16000;vp8;240;on;off;595;2607;51;4112;Connected
iptel.org;on;tls;off;auto;amr-wb-16000;h264;480;on;on;1173;4694;4409;1333;icq;off;auto;off;auto;speex-8000;ulpfec;1080;on;off;1070;2655;205;3851;Failed
irc;off;tls;on;auto;amr-wb-16000;red;240;off;on;1145;4943;1688;1878;irc;off;auto;on;auto;silk-16000;vp8;480;on;off;897;2607;51;1831;Connected
irc;off;tls;on;auto;silk-24000;rtx;240;off;on;1103;4916;3514;1313;h323;off;auto;on;auto;ilbc-8000;vp8;240;on;off;595;2605;418;4112;Failed
iptel.org;on;tcp;off;auto;amr-wb-16000;red;720;on;off;545;4943;3739;139;icq;on;auto;off;false;auto;rtx;1080;on;on;1362;4776;456;948;Connected
h323;off;tls;on;auto;silk-24000;vp8;480;off;on;1145;4943;2651;1878;irc;off;auto;on;auto;silk-12000;vp8;480;on;off;595;4738;63;3875;Failed
iptel.org;on;tcp;off;auto;amr-wb-16000;h264;720;off;off;1145;4943;3739;139;icq;on;udp;off;false;auto;rtx;1080;on;on;1362;4776;456;948;Connected
iptel.org;off;tls;off;auto;silk-24000;red;720;on;on;1145;4943;1688;943;irc;on;auto;off;auto;auto;rtx;1080;on;off;644;4957;465;3851;Connected
iptel.org;off;tls;off;auto;silk-24000;red;240;off;on;1456;4728;2264;1878;irc;off;auto;on;auto;silk-24000;rtx;1080;on;off;778;4776;51;3851;Failed
sip;off;tls;on;auto;silk-24000;auto;240;off;on;709;4728;2342;1371;irc;off;auto;off;auto;gsm-8000;vp8;1080;on;off;663;2607;51;3851;Failed
irc;off;tls;on;auto;silk-24000;ulpfec;240;off;on;1103;4916;3355;987;irc;off;auto;off;auto;pcmu-8000;vp8;480;on;off;974;2607;418;4112;Failed
iptel.org;off;tls;on;auto;opus-48000;red;480;off;on;1103;4943;1688;943;irc;on;auto;off;auto;silk-24000;rtx;480;on;off;974;2607;51;3851;Failed
iptel.org;on;tls;on;auto;silk-12000;h264;360;on;on;906;4694;1597;1333;irc;on;auto;off;auto;opus-48000;rtx;1080;on;off;974;4013;51;4112;Failed
