product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
aim;on;tcp;on;true;speex-16000;h264;720;off;off;1110;1575;1319;1314;irc;off;tls;off;true;amr-wb-16000;h264;240;on;on;1067;4526;2833;3711;Failed
ippi;on;tls;on;true;ilbc-8000;red;720;on;off;1331;1942;3332;4683;aim;off;udp;off;false;speex-16000;ulpfec;360;off;off;936;2240;341;2486;Failed
ippi;on;auto;besteffort;true;telephone-event-80000;vp8;480;off;off;1433;273;616;2593;h323;on;tls;on;true;silk-24000;ulpfec;480;off;off;964;4703;4032;1325;Failed
ippi;on;udp;off;false;speex-32000;ulpfec;1080;on;on;1406;1351;2738;4244;h323;on;udp;off;false;silk-24000;rtx;480;off;on;878;2745;3248;1297;Connected
icq;on;auto;on;false;opus-48000;red;720;off;off;802;263;4644;4023;ippi;off;udp;on;auto;telephone-event-80000;red;360;on;on;1154;3842;835;4482;Failed
ippi;off;udp;besteffort;false;gsm-8000;ulpfec;240;on;on;1180;2374;4246;2872;iptel.org;on;tcp;on;false;ilbc-8000;rtx;360;on;on;669;2050;951;3159;Failed
ippi;off;tls;on;false;speex-32000;auto;480;off;on;996;4097;3293;2680;irc;off;udp;on;true;auto;h264;1080;off;off;520;1398;2626;632;Failed
icq;off;udp;off;true;amr-wb-16000;ulpfec;240;on;off;1131;2535;2290;1622;sip;on;tls;besteffort;auto;telephone-event-80000;rtx;1080;on;off;756;1019;1796;511;Connected
icq;off;udp;on;false;g722-16000;vp8;720;off;on;1166;593;2702;337;aim;off;tls;besteffort;false;amr-wb-16000;vp8;240;off;off;1133;3930;3115;391;Failed
ippi;off;udp;off;false;silk-24000;rtx;720;off;on;1383;1872;1727;4296;iptel.org;on;udp;besteffort;false;silk-24000;auto;720;on;off;879;3651;766;3699;Connected
ippi;on;auto;besteffort;true;silk-12000;h264;1080;off;on;1460;3927;617;3836;ippi;on;udp;off;false;telephone-event-80000;red;1080;on;off;877;4163;2833;1332;Connected
icq;on;tls;on;true;opus-48000;red;240;off;on;1216;1494;477;597;ippi;on;tcp;off;true;silk-24000;red;480;on;off;757;500;4455;4021;Failed
googletalk;on;tls;on;true;pcmu-8000;auto;240;off;on;763;2121;277;2584;googletalk;off;auto;on;false;opus-48000;vp8;240;off;on;1160;4525;4000;4005;Failed
iptel.org;on;udp;off;true;opus-48000;h264;360;off;off;519;810;3015;3663;irc;off;udp;off;true;opus-48000;ulpfec;360;off;on;1023;3369;300;4096;Failed
h323;on;udp;on;true;speex-8000;ulpfec;480;off;on;1073;3621;1928;2876;sip;off;tls;besteffort;false;speex-16000;ulpfec;360;on;on;1436;4795;4568;4874;Failed
icq;on;auto;on;true;gsm-8000;h264;240;off;on;1468;4936;4284;2165;icq;on;tls;off;true;ilbc-8000;rtx;720;on;on;747;1021;1377;3292;Failed
iptel.org;on;tls;besteffort;true;speex-32000;ulpfec;360;on;off;871;575;812;457;icq;on;tcp;on;false;silk-16000;red;240;off;off;861;3878;3693;4881;Connected
iptel.org;on;tls;off;auto;silk-8000;red;1080;on;off;714;3644;842;444;irc;off;udp;off;false;g722-16000;h264;1080;off;off;680;3026;3188;3855;Connected
icq;on;tls;besteffort;true;pcmu-8000;vp8;1080;on;off;1310;1817;870;4497;icq;on;auto;on;auto;opus-48000;vp8;240;off;on;718;360;2574;1183;Failed
sip;off;tcp;besteffort;true;auto;red;720;off;off;761;1658;1118;939;irc;off;tcp;off;auto;silk-12000;vp8;480;off;off;677;2958;4560;3661;Failed
googletalk;off;tcp;besteffort;auto;gsm-8000;ulpfec;240;off;on;994;4569;4253;2349;irc;off;udp;besteffort;auto;speex-8000;vp8;240;off;on;917;1445;1580;335;Failed
googletalk;off;tcp;on;auto;silk-24000;ulpfec;240;on;on;837;110;2979;888;googletalk;off;auto;besteffort;auto;amr-wb-16000;ulpfec;360;on;off;912;2368;576;131;Failed
sip;on;auto;besteffort;auto;silk-8000;ulpfec;1080;on;on;1440;2307;3527;1852;irc;off;udp;off;false;pcma-8000;vp8;240;on;off;1435;1373;3346;2125;Failed
h323;off;tls;off;false;g722-16000;vp8;480;off;off;923;3773;2191;293;h323;off;udp;on;true;silk-12000;auto;480;on;on;1490;3799;3223;4150;Failed
sip;on;udp;besteffort;auto;pcmu-8000;h264;240;off;on;1175;4845;4681;1172;sip;on;udp;off;true;gsm-8000;red;240;off;off;1249;3077;2414;1212;Failed
ippi;on;tcp;off;false;pcmu-8000;h264;720;off;off;521;3905;3679;1500;googletalk;on;udp;off;auto;gsm-8000;vp8;240;on;off;1260;3039;4745;919;Failed
sip;on;udp;on;false;speex-8000;auto;1080;off;on;1375;1672;3940;2539;irc;on;tls;besteffort;true;gsm-8000;rtx;720;on;on;1256;4111;2055;408;Failed
irc;on;auto;on;true;telephone-event-80000;rtx;240;on;off;510;2935;1245;3291;irc;off;udp;besteffort;true;pcma-8000;vp8;240;off;off;828;389;1665;1977;Connected
sip;off;tcp;on;auto;speex-16000;rtx;720;off;on;794;1750;3853;3530;sip;on;tcp;on;true;pcmu-8000;h264;1080;off;on;1144;4140;4316;3458;Failed
ippi;on;tls;off;auto;auto;red;480;on;off;817;1702;762;2724;sip;on;tcp;on;true;pcma-8000;red;240;on;on;1381;3298;3873;4723;Failed
sip;off;tcp;off;false;silk-16000;auto;480;on;off;1044;438;2822;4710;aim;on;auto;on;false;pcmu-8000;auto;1080;on;on;707;3377;3719;3538;Failed
sip;on;tcp;besteffort;true;silk-24000;ulpfec;720;off;off;1254;4987;1432;4491;ippi;off;tcp;besteffort;auto;silk-8000;ulpfec;720;on;on;1473;2502;280;2942;Failed
irc;off;udp;besteffort;auto;pcmu-8000;ulpfec;480;off;off;1350;1320;1898;1911;iptel.org;on;tcp;on;false;speex-16000;auto;480;off;off;507;225;3415;1982;Connected
icq;on;tcp;off;true;speex-8000;red;480;on;off;1167;3676;1065;315;sip;off;tcp;besteffort;false;amr-wb-16000;auto;1080;on;on;1115;1471;2127;1552;Failed
sip;off;tls;besteffort;auto;silk-16000;vp8;720;off;off;913;776;3644;1290;sip;off;udp;off;true;gsm-8000;ulpfec;720;on;on;527;1736;1014;4258;Failed
ippi;off;tls;off;auto;pcma-8000;h264;720;on;on;563;4610;3096;2169;icq;on;tcp;off;false;opus-48000;ulpfec;240;off;off;1419;2671;2172;4005;Failed
irc;off;auto;on;true;speex-16000;auto;240;off;off;1260;3162;4760;3981;ippi;off;udp;off;auto;g722-16000;auto;360;off;on;872;4781;2938;4370;Failed
ippi;off;udp;on;true;amr-wb-16000;red;480;off;on;1119;4510;2080;1660;aim;off;auto;besteffort;auto;opus-48000;vp8;480;on;off;926;3283;2164;3414;Failed
irc;off;auto;besteffort;true;silk-24000;vp8;480;off;on;538;4819;2092;1641;iptel.org;on;tls;besteffort;auto;telephone-event-80000;vp8;240;off;on;1246;4589;103;436;Failed
irc;on;auto;off;true;silk-24000;ulpfec;720;on;on;1072;590;603;1880;irc;off;udp;off;auto;silk-16000;red;1080;on;on;1200;1287;3166;2625;Connected
iptel.org;off;tls;off;auto;opus-48000;h264;240;off;off;1147;2442;1192;2498;googletalk;on;tls;on;true;silk-24000;red;1080;off;on;848;1463;1418;401;Failed
googletalk;off;tls;besteffort;true;telephone-event-80000;rtx;360;off;on;590;1334;1609;1809;irc;on;udp;besteffort;false;speex-32000;ulpfec;360;off;on;940;4780;75;3125;Failed
aim;on;tcp;off;auto;opus-48000;vp8;1080;on;off;990;4839;782;2022;aim;on;auto;off;true;g722-16000;vp8;360;off;off;789;2491;2329;336;Failed
ippi;off;auto;besteffort;false;speex-8000;rtx;240;on;on;849;3680;3836;763;h323;on;udp;on;auto;silk-16000;red;480;off;off;1015;1120;1422;304;Failed
sip;off;tcp;off;true;auto;ulpfec;240;off;on;1421;3949;2082;3747;ippi;off;tls;off;false;pcma-8000;auto;240;on;off;537;1011;3326;3589;Failed
