product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
aim;off;auto;off;auto;gsm-8000;h264;1080;on;off;894;897;520;3110;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;off;685;4947;242;4180;Failed
googletalk;on;auto;besteffort;true;pcmu-8000;h264;720;off;off;1490;1769;51;3362;ippi;off;udp;off;false;speex-8000;ulpfec;1080;on;on;548;2237;3289;459;Failed
googletalk;on;tls;off;auto;silk-12000;auto;1080;off;off;971;4500;4545;1496;h323;off;auto;besteffort;auto;pcma-8000;auto;360;on;off;535;4410;541;4180;Connected
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1393;4500;970;197;h323;off;auto;off;false;ilbc-8000;ulpfec;720;on;on;535;4456;327;2152;Failed
aim;on;auto;besteffort;true;pcmu-8000;h264;720;off;off;1490;1769;1324;3292;ippi;off;tls;off;false;speex-8000;ulpfec;1080;on;on;535;3451;400;3930;Connected
aim;off;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1490;1769;1324;3362;irc;on;tls;off;false;speex-8000;ulpfec;1080;on;on;548;2610;1225;459;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;ippi;off;tls;off;true;pcmu-8000;auto;360;on;on;524;4604;400;4337;Failed
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;819;3110;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;535;3451;3169;1698;Connected
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;off;auto;off;auto;g722-16000;ulpfec;360;on;on;524;4604;400;4555;Failed
aim;on;auto;on;auto;speex-8000;vp8;720;off;off;971;4500;970;300;iptel.org;off;auto;off;auto;silk-8000;ulpfec;1080;on;on;535;4922;513;4187;Failed
googletalk;on;auto;besteffort;true;pcmu-8000;h264;720;off;off;1490;4500;970;197;iptel.org;on;auto;off;false;pcmu-8000;ulpfec;1080;on;on;535;4947;3169;2704;Failed
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;off;off;1490;2033;251;3424;irc;off;auto;off;false;pcmu-8000;auto;360;on;off;685;4604;3169;4733;Connected
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;1769;1324;4705;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;520;4947;400;4733;Failed
googletalk;on;auto;besteffort;auto;silk-12000;auto;1080;off;off;907;4500;878;512;ippi;off;auto;besteffort;true;pcma-8000;auto;360;on;on;524;4604;400;4333;Failed
googletalk;on;tcp;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4604;400;4333;Failed
googletalk;on;auto;besteffort;auto;ilbc-8000;h264;1080;off;off;1490;4500;1277;767;iptel.org;on;udp;off;false;speex-8000;ulpfec;1080;on;on;548;3451;3289;459;Failed
googletalk;off;auto;on;auto;gsm-8000;auto;1080;off;off;971;3335;970;197;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;535;4456;4660;4399;Failed
googletalk;off;auto;off;auto;pcmu-8000;h264;1080;on;off;942;1576;520;3110;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;off;685;4947;3169;4733;Connected
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;off;off;942;4500;970;197;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;off;535;564;3346;4333;Connected
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;off;off;1490;1769;251;3424;irc;off;auto;off;false;pcmu-8000;ulpfec;360;on;off;520;4854;400;4333;Failed
aim;on;auto;off;auto;pcmu-8000;h264;1080;off;off;1490;1769;251;3424;irc;off;auto;off;false;pcmu-8000;ulpfec;360;on;off;520;4854;400;4333;Connected
googletalk;on;tcp;off;auto;speex-8000;vp8;1080;off;off;971;4500;970;2486;iptel.org;off;auto;besteffort;auto;auto;vp8;360;on;on;524;4947;242;4406;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;googletalk;off;tls;off;false;speex-8000;ulpfec;1080;on;on;548;3322;1225;459;Connected
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;251;3362;irc;off;tls;off;false;pcmu-8000;ulpfec;1080;on;on;535;4947;400;4406;Failed
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;971;4500;4545;3113;irc;off;auto;off;true;pcma-8000;auto;360;on;on;524;4604;400;4555;Connected
googletalk;off;tcp;off;auto;silk-12000;auto;1080;off;off;971;4500;4545;3110;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;on;524;4947;400;4180;Connected
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;off;off;699;1414;1324;3362;ippi;off;tls;off;true;pcma-8000;auto;360;on;on;520;4947;4660;4194;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;523;897;3841;3224;ippi;off;auto;off;true;pcma-8000;auto;240;on;on;524;4604;400;4333;Failed
googletalk;on;auto;besteffort;auto;ilbc-8000;h264;1080;off;off;1348;4500;970;197;iptel.org;off;auto;besteffort;auto;auto;auto;360;on;off;520;876;400;4733;Connected
aim;off;auto;off;auto;pcmu-8000;h264;1080;on;off;642;1576;520;3110;iptel.org;off;auto;off;auto;pcma-8000;auto;360;on;off;524;4947;3169;4555;Connected
aim;on;auto;off;auto;pcmu-8000;h264;1080;off;off;1490;1769;1324;3362;iptel.org;off;auto;off;auto;ilbc-8000;ulpfec;1080;on;off;520;4604;400;4733;Failed
googletalk;on;tcp;off;auto;amr-wb-16000;vp8;1080;off;off;823;4500;970;197;irc;off;auto;besteffort;auto;auto;auto;360;on;off;520;4604;400;4733;Failed
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;971;4240;4682;197;iptel.org;off;auto;besteffort;auto;pcma-8000;auto;360;on;on;524;4947;400;4180;Connected
googletalk;off;auto;besteffort;true;pcmu-8000;h264;720;off;off;1490;1769;1324;3362;ippi;off;tls;off;false;speex-8000;ulpfec;1080;on;on;548;3451;3289;1698;Failed
googletalk;off;auto;off;auto;pcmu-8000;auto;1080;on;off;1490;1769;1324;4705;iptel.org;on;auto;off;false;ilbc-8000;ulpfec;720;on;on;520;4947;400;4733;Failed
aim;off;auto;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;besteffort;auto;pcma-8000;auto;360;on;off;535;4456;4890;4180;Failed
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1275;897;1830;3362;ippi;off;tls;off;false;speex-8000;rtx;1080;on;on;581;1718;3289;459;Connected
googletalk;off;tls;off;auto;silk-12000;auto;1080;off;off;658;4500;4545;1496;irc;off;auto;besteffort;auto;auto;auto;360;on;off;548;4456;2851;4194;Failed
aim;off;auto;off;auto;gsm-8000;auto;1080;off;off;971;4500;970;197;h323;off;auto;besteffort;auto;silk-8000;auto;360;on;off;520;4854;400;4333;Failed
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1490;814;1277;767;iptel.org;on;auto;off;auto;speex-8000;ulpfec;1080;on;on;596;2511;3289;459;Connected
