product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
h323;on;tcp;on;auto;gsm-8000;vp8;240;on;off;1434;4494;1198;366;ippi;on;tcp;besteffort;auto;speex-16000;auto;1080;off;off;934;1972;3335;1920;Failed
h323;off;auto;on;false;speex-16000;red;1080;off;off;1248;535;290;265;ippi;off;tls;on;true;auto;ulpfec;240;on;off;1216;4766;2558;2194;Connected
h323;on;tls;besteffort;auto;pcmu-8000;vp8;1080;off;off;985;1145;996;2052;irc;on;auto;besteffort;true;auto;h264;480;on;on;1016;4325;4207;3971;Failed
irc;on;auto;on;true;ilbc-8000;ulpfec;360;off;on;728;3584;2007;4661;aim;off;tcp;besteffort;false;telephone-event-80000;auto;1080;on;off;1111;686;3172;4154;Connected
iptel.org;off;tcp;besteffort;true;opus-48000;vp8;1080;on;off;1142;3251;3871;3158;icq;on;auto;off;auto;speex-32000;ulpfec;240;off;on;1442;2471;2761;762;Failed
googletalk;off;auto;besteffort;false;ilbc-8000;red;1080;off;off;1386;645;2361;3622;sip;off;tcp;besteffort;auto;gsm-8000;red;1080;on;on;657;4188;2773;437;Failed
icq;off;udp;on;false;silk-24000;rtx;1080;on;off;1425;3176;1497;139;aim;on;tcp;on;auto;ilbc-8000;ulpfec;480;on;on;1031;3747;315;1876;Failed
irc;off;udp;besteffort;auto;telephone-event-80000;auto;240;on;off;510;3849;4196;1811;sip;on;auto;on;false;pcma-8000;red;480;off;on;1126;4544;4541;3331;Connected
sip;off;tls;off;false;silk-8000;red;1080;on;on;1107;4406;417;3642;icq;off;tls;off;true;amr-wb-16000;red;720;on;off;816;2410;2357;652;Failed
irc;off;tcp;on;auto;gsm-8000;ulpfec;360;on;on;1317;716;1631;1117;sip;off;auto;off;auto;amr-wb-16000;auto;720;off;on;1069;4743;1949;78;Failed
icq;on;tcp;on;true;gsm-8000;ulpfec;480;off;off;1026;2500;314;156;ippi;on;tls;off;false;speex-32000;ulpfec;1080;on;off;1276;2905;4150;2107;Failed
sip;on;udp;on;true;speex-16000;auto;1080;on;on;515;3262;136;2396;irc;off;tcp;on;true;speex-32000;auto;360;on;off;792;450;2694;1614;Failed
iptel.org;off;udp;off;auto;gsm-8000;auto;480;on;off;1076;4629;487;961;ippi;on;udp;off;true;silk-8000;h264;360;on;on;766;4261;1342;3141;Failed
irc;on;tls;off;auto;silk-12000;vp8;240;on;off;1224;2164;3842;970;h323;on;tcp;off;false;amr-wb-16000;ulpfec;1080;off;off;827;1310;2809;1474;Failed
iptel.org;off;udp;on;false;amr-wb-16000;vp8;1080;on;off;1292;1267;4786;400;googletalk;on;udp;besteffort;false;auto;rtx;240;off;off;764;829;1614;3459;Failed
icq;off;tcp;besteffort;auto;silk-8000;vp8;480;on;on;1110;1553;4191;4552;iptel.org;on;tcp;off;true;gsm-8000;red;240;off;off;1239;3846;2294;3361;Failed
icq;off;tcp;off;auto;silk-24000;rtx;1080;off;off;620;2198;1384;2734;sip;on;auto;besteffort;auto;opus-48000;auto;480;off;on;709;2649;1307;959;Connected
