product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
googletalk;on;auto;besteffort;auto;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;514;3358;3324;428
googletalk;off;auto;off;auto;gsm-8000;auto;1080;off;off;952;3238;1128;1081;h323;off;auto;off;true;pcma-8000;auto;360;on;off;500;4755;2949;4146
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;507;2130;3324;428
googletalk;off;auto;off;auto;gsm-8000;auto;1080;off;off;910;2269;349;3188;ippi;off;udp;off;false;pcma-8000;auto;720;on;off;664;4980;52;4290
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;2247;3242;icq;off;auto;off;true;pcma-8000;auto;360;on;on;507;2053;1302;4418
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;ippi;off;auto;besteffort;auto;auto;auto;360;on;off;507;4945;52;4142
sip;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;irc;off;auto;besteffort;auto;auto;auto;360;on;off;507;4945;52;4146
googletalk;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;290;79;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4980;52;4290
googletalk;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;auto;1080;on;on;507;2130;3324;428
aim;off;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1420;1801;2861;3242;icq;on;tls;off;false;speex-8000;auto;1080;on;on;507;2130;3324;428
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1482;1465;290;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290
aim;on;auto;off;auto;telephone-event-80000;auto;1080;off;off;1362;4098;4894;1078;ippi;off;auto;off;true;telephone-event-80000;auto;360;on;off;507;4898;52;4142
sip;off;tcp;off;auto;telephone-event-80000;auto;1080;off;off;591;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;360;on;off;507;4898;52;4142
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;4751;1331;3218;iptel.org;off;tls;off;false;ilbc-8000;auto;720;on;off;507;3358;1302;2655
googletalk;on;tls;off;true;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4142
googletalk;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;591;3682;4894;1078;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;507;4611;52;4290
googletalk;off;tcp;off;auto;gsm-8000;auto;1080;on;off;591;4265;4894;3193;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;507;4945;52;4142
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1492;1801;2861;3242;icq;on;auto;off;false;speex-8000;rtx;1080;on;on;507;2130;3009;428
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1372;1801;2247;3242;ippi;off;tls;off;false;pcmu-8000;auto;360;on;on;515;3745;52;4142
aim;on;auto;on;auto;pcmu-8000;auto;1080;off;off;1492;1122;1357;3242;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;1302;3501
sip;off;tls;off;true;telephone-event-80000;ulpfec;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4980;52;4290
googletalk;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;4751;1331;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290
sip;off;tls;off;auto;telephone-event-80000;auto;1080;off;off;873;4098;4894;3193;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;664;4945;52;4142
sip;off;auto;off;auto;telephone-event-80000;ulpfec;1080;off;off;979;4630;4416;690;h323;off;auto;besteffort;auto;auto;auto;240;on;off;664;4611;200;4142
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;4751;1115;79;iptel.org;off;auto;off;true;speex-8000;rtx;1080;on;off;507;3366;52;4366
googletalk;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1492;4751;290;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;507;3358;52;4290
googletalk;off;tls;off;auto;telephone-event-80000;ulpfec;1080;off;off;873;3238;642;477;irc;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4146
googletalk;off;tcp;off;auto;telephone-event-80000;auto;1080;off;on;979;4630;3997;449;h323;off;auto;besteffort;auto;auto;auto;240;on;on;507;4611;200;4451
googletalk;on;auto;off;auto;telephone-event-80000;auto;1080;off;off;591;3238;642;477;irc;off;auto;besteffort;auto;auto;auto;240;on;off;500;4945;52;4146
aim;on;auto;besteffort;true;ilbc-8000;h264;1080;off;off;1492;3137;1331;79;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;540;4755;827;3876
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1420;1801;1743;3242;icq;on;tls;off;false;speex-8000;rtx;720;on;off;507;2130;3324;428
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;off;off;1492;1801;824;3242;icq;on;tls;off;false;speex-8000;rtx;1080;on;on;514;3358;3415;4146
googletalk;off;auto;besteffort;auto;speex-8000;ulpfec;1080;off;off;1492;4751;61;132;ippi;off;auto;off;false;pcma-8000;auto;360;on;off;500;4945;52;4142
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1446;1801;2861;3242;icq;off;tls;off;false;pcma-8000;ulpfec;720;on;on;507;3358;3167;4418
